[INFO ] [2022-08-28 01:41:45,731] Register - Step 01: Navigate to Register Page
[INFO ] [2022-08-28 01:41:46,508] Register - Step 02: Enter to First Name Textbox with value = Automation
[INFO ] [2022-08-28 01:41:46,714] Register - Step 03: Enter to Last Name Textbox with value = FC
[INFO ] [2022-08-28 01:41:46,888] Register - Step 04: Enter to Existing Email Textbox with value = afc2@gmail.com
[INFO ] [2022-08-28 01:41:47,092] Register - Step 05: Enter to password Textbox with value = 123456
[INFO ] [2022-08-28 01:41:47,337] Register - Step 06: Enter to confirm password  Textbox with value = 123456
[INFO ] [2022-08-28 01:41:47,555] Register - Step 07: Click To Register Button
[INFO ] [2022-08-28 01:41:49,021] Register - Step 08: Verify register success message is displyed
[INFO ] [2022-08-28 01:41:49,152]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:41:49,155] Register - Step 09: Click to logout button
[INFO ] [2022-08-28 01:41:50,217] Login - Step 01: Navigate to open login page
[INFO ] [2022-08-28 01:41:50,792] Login - Step 02: Enter to Email Textbox with value = afc2@gmail.com
[INFO ] [2022-08-28 01:41:51,000] Login - Step 03: Enter to Password Textbox with value = 123456
[INFO ] [2022-08-28 01:41:51,181] Login - Step 04: Click on Login Button 
[INFO ] [2022-08-28 01:41:52,145] Login - Step 05: Verify My Account Link is displayed
[INFO ] [2022-08-28 01:41:52,214]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-08-28 01:41:52,214]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:41:52,214] Login - Step 06: Navigate to my account page
[INFO ] [2022-08-28 01:41:53,031] Login - Step 07: Verify CustomerInfoPage is Displayed
[INFO ] [2022-08-28 01:41:53,108]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-08-28 01:41:53,108]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:43:37,758] Register - Step 01: Navigate to Register Page
[INFO ] [2022-08-28 01:43:38,628] Register - Step 02: Enter to First Name Textbox with value = Automation
[INFO ] [2022-08-28 01:43:38,914] Register - Step 03: Enter to Last Name Textbox with value = FC
[INFO ] [2022-08-28 01:43:39,111] Register - Step 04: Enter to Existing Email Textbox with value = afc827@gmail.com
[INFO ] [2022-08-28 01:43:39,324] Register - Step 05: Enter to password Textbox with value = 123456
[INFO ] [2022-08-28 01:43:39,489] Register - Step 06: Enter to confirm password  Textbox with value = 123456
[INFO ] [2022-08-28 01:43:39,680] Register - Step 07: Click To Register Button
[INFO ] [2022-08-28 01:43:40,852] Register - Step 08: Verify register success message is displyed
[INFO ] [2022-08-28 01:43:40,961]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:43:40,964] Register - Step 09: Click to logout button
[INFO ] [2022-08-28 01:43:41,863] Login - Step 01: Navigate to open login page
[INFO ] [2022-08-28 01:43:42,377] Login - Step 02: Enter to Email Textbox with value = afc827@gmail.com
[INFO ] [2022-08-28 01:43:42,544] Login - Step 03: Enter to Password Textbox with value = 123456
[INFO ] [2022-08-28 01:43:42,693] Login - Step 04: Click on Login Button 
[INFO ] [2022-08-28 01:43:43,525] Login - Step 05: Verify My Account Link is displayed
[INFO ] [2022-08-28 01:43:43,589]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-08-28 01:43:43,590]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:43:43,590] Login - Step 06: Navigate to my account page
[INFO ] [2022-08-28 01:43:44,278] Login - Step 07: Verify CustomerInfoPage is Displayed
[INFO ] [2022-08-28 01:43:44,372]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-08-28 01:43:44,372]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:47:00,092] Register - Step 01: Navigate to Register Page
[INFO ] [2022-08-28 01:47:00,903] Register - Step 02: Enter to First Name Textbox with value = Automation
[INFO ] [2022-08-28 01:47:01,101] Register - Step 03: Enter to Last Name Textbox with value = FC
[INFO ] [2022-08-28 01:47:01,253] Register - Step 04: Enter to Existing Email Textbox with value = afc636@gmail.com
[INFO ] [2022-08-28 01:47:01,422] Register - Step 05: Enter to password Textbox with value = 123456
[INFO ] [2022-08-28 01:47:01,583] Register - Step 06: Enter to confirm password  Textbox with value = 123456
[INFO ] [2022-08-28 01:47:01,745] Register - Step 07: Click To Register Button
[INFO ] [2022-08-28 01:47:02,925] Register - Step 08: Verify register success message is displyed
[INFO ] [2022-08-28 01:47:03,004]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:47:03,006] Register - Step 09: Click to logout button
[INFO ] [2022-08-28 01:47:03,992] Login - Step 01: Navigate to open login page
[INFO ] [2022-08-28 01:47:04,680] Login - Step 02: Enter to Email Textbox with value = afc636@gmail.com
[INFO ] [2022-08-28 01:47:04,843] Login - Step 03: Enter to Password Textbox with value = 123456
[INFO ] [2022-08-28 01:47:04,994] Login - Step 04: Click on Login Button 
[INFO ] [2022-08-28 01:47:05,863] Login - Step 05: Verify My Account Link is displayed
[INFO ] [2022-08-28 01:47:05,926]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-08-28 01:47:05,926]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 01:47:05,926] Login - Step 06: Navigate to my account page
[INFO ] [2022-08-28 01:47:06,588] Login - Step 07: Verify CustomerInfoPage is Displayed
[INFO ] [2022-08-28 01:47:06,713]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-08-28 01:47:06,714]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 02:02:11,135] Register - Step 01: Navigate to Register Page
[INFO ] [2022-08-28 02:02:12,177] Register - Step 02: Enter to First Name Textbox with value = Automation
[INFO ] [2022-08-28 02:02:12,367] Register - Step 03: Enter to Last Name Textbox with value = FC
[INFO ] [2022-08-28 02:02:12,518] Register - Step 04: Enter to Existing Email Textbox with value = afc405@gmail.com
[INFO ] [2022-08-28 02:02:12,683] Register - Step 05: Enter to password Textbox with value = 123456
[INFO ] [2022-08-28 02:02:12,866] Register - Step 06: Enter to confirm password  Textbox with value = 123456
[INFO ] [2022-08-28 02:02:13,038] Register - Step 07: Click To Register Button
[INFO ] [2022-08-28 02:02:14,213] Register - Step 08: Verify register success message is displyed
[INFO ] [2022-08-28 02:02:14,323]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-08-28 02:02:14,328] Register - Step 09: Click to logout button
[INFO ] [2022-08-28 02:02:15,281] Login - Step 01: Navigate to open login page
[INFO ] [2022-08-28 02:02:15,803] Login - Step 02: Enter to Email Textbox with value = afc405@gmail.com
[INFO ] [2022-08-28 02:02:15,970] Login - Step 03: Enter to Password Textbox with value = 123456
[INFO ] [2022-08-28 02:02:16,123] Login - Step 04: Click on Login Button 
[INFO ] [2022-08-28 02:02:17,051] Login - Step 05: Verify My Account Link is displayed
